latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
14.63219,101.07701,307.64,0.47,0.4,2025-10-01,1836,N20,VIIRS,n,2.0NRT,282.32,1.06,N
14.62903,101.09868,305.6,0.47,0.4,2025-10-01,1836,N20,VIIRS,n,2.0NRT,284.87,1.84,N
14.63284,101.07444,305.73,0.47,0.4,2025-10-01,1836,N20,VIIRS,n,2.0NRT,282.43,1.16,N
14.67425,100.8034,305.8,0.49,0.4,2025-10-01,1836,N20,VIIRS,n,2.0NRT,283.13,1.35,N
14.62981,101.09612,305.93,0.47,0.4,2025-10-01,1836,N20,VIIRS,n,2.0NRT,284.62,1.18,N
13.09313,100.87587,304.87,0.47,0.39,2025-10-01,1836,N20,VIIRS,n,2.0NRT,286.6,1.49,N
6.17962,100.73037,305.55,0.41,0.37,2025-10-01,1838,N20,VIIRS,n,2.0NRT,290.83,0.62,N
6.96886,100.76905,304.83,0.41,0.37,2025-10-01,1838,N20,VIIRS,n,2.0NRT,291.43,0.79,N
9.15353,99.4333,334.66,0.47,0.64,2025-10-02,0724,N20,VIIRS,n,2.0NRT,289.46,2.7,D
14.6351,101.07881,302.48,0.62,0.54,2025-10-02,1815,N20,VIIRS,n,2.0NRT,288.42,2.29,N
14.65016,101.03828,308.75,0.62,0.54,2025-10-02,1815,N20,VIIRS,n,2.0NRT,288.21,3.01,N
9.04135,99.58077,308.04,0.33,0.55,2025-10-02,1817,N20,VIIRS,n,2.0NRT,286.83,1.31,N
16.3589,104.17814,329.93,0.64,0.72,2025-10-03,0525,N20,VIIRS,n,2.0NRT,285.39,3,D
14.6346,101.07271,296.2,0.59,0.7,2025-10-03,1938,N20,VIIRS,n,2.0NRT,268.74,1.32,N
15.37029,100.09598,332.25,0.46,0.39,2025-10-04,0646,N20,VIIRS,n,2.0NRT,292.43,2.89,D
7.87143,100.26764,336.99,0.4,0.37,2025-10-04,0646,N20,VIIRS,n,2.0NRT,291.75,3.85,D
15.73962,99.74357,334.66,0.45,0.39,2025-10-04,0648,N20,VIIRS,n,2.0NRT,293.82,4.23,D
16.5092,99.85703,331.42,0.46,0.39,2025-10-04,0648,N20,VIIRS,n,2.0NRT,290.25,2.77,D
14.00811,100.73591,309.92,0.55,0.51,2025-10-04,1919,N20,VIIRS,n,2.0NRT,277.08,1.77,N
14.63569,101.07329,298.11,0.57,0.52,2025-10-04,1919,N20,VIIRS,n,2.0NRT,272.22,2.23,N
7.88248,98.2971,328.47,0.4,0.44,2025-10-05,0625,N20,VIIRS,n,2.0NRT,296.15,5.88,D
14.48502,100.47877,339.52,0.4,0.37,2025-10-05,0627,N20,VIIRS,n,2.0NRT,296.55,7.88,D
14.82314,101.09335,338.31,0.39,0.36,2025-10-05,0627,N20,VIIRS,n,2.0NRT,298.96,4.27,D
13.83929,102.32383,331.2,0.38,0.36,2025-10-05,0627,N20,VIIRS,n,2.0NRT,291.05,4.07,D
16.11724,99.98085,334.45,0.4,0.37,2025-10-05,0627,N20,VIIRS,n,2.0NRT,292.08,3.1,D
16.17215,100.28553,337.57,0.39,0.37,2025-10-05,0627,N20,VIIRS,n,2.0NRT,293.6,4.64,D
14.97035,100.14255,346.01,0.4,0.37,2025-10-05,0627,N20,VIIRS,n,2.0NRT,297.84,8.45,D
16.46406,100.26151,333.7,0.39,0.36,2025-10-05,0627,N20,VIIRS,n,2.0NRT,291.23,3.34,D
